code,price,sma50,sma150,sma200,high52w,low52w,sma200_20d_ago,rs_percentile,ret_3m,ret_6m,ret_9m,ret_12m,tt_1,tt_2,tt_3,tt_4,tt_5,tt_6,tt_7,tt_8,tt_all_pass,non_cut_years,non_cut_years_verified,non_cut_years_required,coverage_years,div_source_used,needs_manual_dividend_check,cfo_pos_5y_ratio,fcf_pos_5y_ratio,fcf_payout_3y,fcf_payout_hard_fail,fcf_latest,div_paid_latest,total_div_fwd,total_div_actual,dps_fwd,bps_latest,eps_fwd,net_shares_latest,fiscal_month,metrics_coverage,data_quality_flags,Sector33CodeName,Sector17CodeName,Name,dividend_yield_fwd,dividend_yield_fwd_total,yield_split_mismatch,high_yield_risk,per_fwd,pbr,fcf_yield,per_sector_rank,value_pass,is_financial,core_pass,core_fin_pass,core_candidate,core_momo_pass,trend_score,core_drop_reasons,satellite_pass,eps_growth_yoy,eps_accel,eps_score,satellite_drop_reasons,breakout_20d,breakout_55d,first_pullback,in_holdings,composite_score,drop_reason,yield_used,manual_check_reason,core_buyable_now,satellite_buyable_now
80600,3627.0,3505.14,3364.9766666666665,3218.3,3742.0,2367.0,3127.045,77.92501616031028,0.0791431121689973,0.1800878477306002,0.4104608205327629,0.4969046636401155,True,True,True,True,True,True,True,True,True,5.0,5.0,5,25,yf,True,1.0,1.0,0.173869211305142,False,76967000000.0,18345000000.0,,18345000000.0,170.0,3850.13,381.46,107213355.0,12.0,1.0,div_split_adjusted,卸売業,商社・卸売,キヤノンマーケティングジャパン,0.0468706920319823,0.0471760172989377,False,False,9.508205316415877,0.9420461127286612,0.1979284013871541,0.3047619047619048,True,False,True,False,False,True,6,,True,3.7157868710594633,True,7,,False,False,False,False,65.46250808015515,OK,total,yf_source_high_yield,True,True
69270,1150.0,1204.2596459960937,1067.3235026041666,1011.692626953125,1314.62158203125,812.0,984.877626953125,80.63994828700712,0.1132623426911907,0.3310185185185186,0.3922518159806296,0.3625592417061611,True,True,True,True,False,True,True,True,False,6.0,6.0,5,19,yf,False,1.0,1.0,0.2868136439267887,False,869000000.0,744000000.0,,744000000.0,41.0,887.54,40.13,18147775.0,3.0,1.0,,電気機器,電機・精密,ヘリオス　テクノ　ホールディング,0.0356521739130434,0.035649357661704,False,False,28.656865188138543,1.2957162494084775,0.0416388330752967,0.6742857142857143,True,False,True,False,False,False,6,,False,3.012205754141238,True,7,TT_not_all_pass,False,False,False,False,64.31997414350356,TT_not_all_pass,total,,True,False
69890,2733.0,2761.8668310546877,2646.288037109375,2505.7060278320314,3030.0,1440.0,2454.231027832031,75.37168713639302,-0.0905158069883527,0.243403093721565,0.2958748221906115,0.9111888111888112,True,True,True,True,False,True,True,True,False,10.0,10.0,5,22,yf,False,1.0,1.0,0.1867909867909868,False,2653000000.0,713000000.0,,713000000.0,90.0,2863.49,270.78,7932119.0,3.0,1.0,div_split_adjusted,電気機器,電機・精密,北陸電気工業,0.0329308452250274,0.0328897579371001,False,False,10.093064480389986,0.9544297343451524,0.1223794218893782,0.1428571428571428,True,False,True,False,False,False,6,,False,0.4023445677203263,True,6,TT_not_all_pass,False,False,False,False,60.68584356819651,TT_not_all_pass,total,,True,False
52010,5574.0,5871.9,5467.8,5240.105,6930.0,4193.0,5097.155,69.48933419521654,-0.0035752592062924,0.1499896843408295,0.3143126621079934,0.2980903586399628,True,True,True,True,False,True,True,False,False,5.0,5.0,5,26,yf,False,1.0,1.0,0.6198018893882418,False,96072000000.0,44595000000.0,,44595000000.0,210.0,7003.63,326.2,212364179.0,12.0,1.0,div_split_adjusted,ガラス･土石製品,建設・資材,ＡＧＣ,0.0376749192680301,0.0376736710061276,False,False,17.08767627222563,0.7958729972885489,0.0811612270635877,0.6842105263157895,True,False,True,False,False,False,5,,False,1.735164859931036,True,7,TT_not_all_pass,False,False,False,False,58.24466709760827,TT_not_all_pass,total,,True,False
69080,3275.0,3427.6075,3273.4370882161456,3177.7528161621094,3700.0,2454.0,3097.1478161621094,59.72850678733032,-0.0339233038348082,0.0737704918032786,0.1848769898697539,0.318438003220612,True,True,True,True,False,True,True,False,False,6.0,6.0,5,24,yf,False,1.0,1.0,0.6012658227848101,False,3265000000.0,2145000000.0,,2145000000.0,100.0,3291.67,118.25,21454605.0,3.0,1.0,div_split_adjusted,電気機器,電機・精密,イリソ電子工業,0.0305343511450381,0.0305277972752734,False,False,27.69556025369979,0.9949357013309352,0.0464677193956959,0.6514285714285715,True,False,True,False,False,False,5,,False,0.4670613107822409,True,6,TT_not_all_pass,False,False,False,False,50.86425339366516,TT_not_all_pass,total,,True,False
67850,3095.0,2867.44,2512.9933333333333,2373.935,3175.0,1507.0,2264.17,91.01486748545572,0.2320859872611465,0.4164759725400457,0.73778775968557,1.02023498694517,True,True,True,True,True,True,True,True,True,6.0,6.0,5,16,yf,True,1.0,1.0,0.3490706319702602,False,,,,,95.0,,217.07,,6.0,1.0,shares_missing; div_split_adjusted; yield_total_fallback_dps,電気機器,電機・精密,鈴木,0.0306946688206785,0.0306946688206785,False,False,14.258073432533283,,,0.3371428571428571,True,False,True,False,False,True,6,,True,,,0,,False,False,False,False,48.50743374272786,OK,dps_fallback,yield_total_fallback_dps,True,True
33750,1713.0,1842.6776611328123,1780.3081705729169,1741.3211279296877,1983.4869384765625,1310.0,1713.2111279296876,43.56819650937298,-0.0664850136239781,0.017825311942959,0.1073044602456367,0.1613559322033897,False,True,True,True,False,True,True,False,False,8.0,8.0,5,19,yf,False,1.0,1.0,0.1827586206896551,False,661000000.0,87000000.0,,87000000.0,70.0,2336.02,236.65,1255833.0,3.0,1.0,div_split_adjusted,小売業,小売,ＺＯＡ,0.0408639813193228,0.0404417554470229,False,False,7.238537925206,0.7332985162798263,0.3072643718446229,0.0982142857142857,True,False,True,False,False,False,4,,False,0.4535656097255294,True,6,TT_not_all_pass,False,False,False,False,46.78409825468649,TT_not_all_pass,total,,True,False
66780,2151.0,2344.2039697265627,2183.909586588541,2121.8971899414064,2630.5869140625,1773.0,2078.8071899414062,58.88817065287654,-0.0222727272727272,0.0940996948118007,0.16522210184182,0.2145680406549972,False,True,True,True,False,False,True,False,False,9.0,9.0,5,19,yf,False,1.0,1.0,0.4735782586814293,False,945000000.0,471000000.0,,471000000.0,68.0,2076.86,145.08,6928288.0,3.0,1.0,div_split_adjusted,電気機器,電機・精密,テクノメディカ,0.0316132031613203,0.031604910462266,False,False,14.826302729528535,1.0356981212021994,0.0634111260867121,0.3542857142857142,True,False,True,False,False,False,5,,False,0.0775218942588388,True,4,TT_not_all_pass,False,False,False,False,45.94408532643827,TT_not_all_pass,total,,True,False
51840,3935.0,4132.2,3849.533333333333,3787.925,4375.0,3410.0,3730.95,62.79896574014221,0.0766073871409029,0.0707482993197279,0.1242857142857143,0.1438953488372092,True,True,True,True,False,False,True,False,False,5.0,5.0,5,22,yf,True,1.0,1.0,0.4842000221754075,False,2457000000.0,2340000000.0,,2340000000.0,176.0,4310.51,461.82,13170714.0,12.0,1.0,div_split_adjusted,ゴム製品,自動車・輸送機,ニチリン,0.0447268106734434,0.0451504207191742,False,False,8.52063574552856,0.9128850182461008,0.0474079417551329,0.2,True,False,True,False,False,False,4,,False,-0.0161930565181779,True,3,TT_not_all_pass,False,False,False,False,45.899482870071104,TT_not_all_pass,total,yf_source_high_yield,True,False
93650,1505.0,1561.8732495117188,1523.720595703125,1480.7304467773438,1637.1214599609375,1206.0,1450.9854467773437,56.81965093729799,-0.0309079201545395,0.0473208072372999,0.2039999999999999,0.2245728234336859,False,True,True,True,False,False,True,False,False,9.0,9.0,5,22,yf,False,1.0,1.0,0.2955465587044534,False,109000000.0,73000000.0,,73000000.0,50.0,3171.99,182.49,1466182.0,3.0,1.0,div_split_adjusted,倉庫･運輸関連業,運輸・物流,トレーディア,0.0332225913621262,0.0330825118496232,False,False,8.247027234369007,0.474465556322687,0.0493971752275196,0.08,True,False,True,False,False,False,5,,False,0.8426229508196721,False,4,TT_not_all_pass,False,False,False,False,44.909825468649,TT_not_all_pass,total,,True,False
